ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
43,"Jagdbetrieb, Hege und Brauchtum",Was versteht man unter Rauschbrand bei Wiederkäuern?,"Eine hoch fieberhafte Erkrankung durch Bakterien (Clostridien), bei der es zur Ansammlung von Gas in der Unterhaut und der Muskulatur kommt.",Ein Leiden des Rehwildes im Frühjahr durch übermäßige Aufnahme von Raps.,Ein Zustand des Schalenwildes durch die Aufnahme stark vergorener (alkoholhaltiger) Äpfel.,1
44,"Jagdbetrieb, Hege und Brauchtum",Von welchen Organen und Körperteilen werden für die Trichinenbeschau Proben beim Schwarzwild entnommen?,Zwerchfell und von Muskeln des Vorderlaufes,Herz und Niere,Lenden und Milz,1
45,"Jagdbetrieb, Hege und Brauchtum",In der Lunge einer von Ihnen gestreckten Ricke stellen Sie Lungenwurmbefall fest. Dürfen Sie das Stück im eigenen Haushalt verbrauchen?,"Ja, wenn keine weiteren Organveränderungen vorliegen","Nein, das Stück ist zu verwerfen","Ja, aber erst nach amtlicher Fleischuntersuchung",1
46,"Jagdbetrieb, Hege und Brauchtum",Wann beginnt für den Jäger die Beachtung der Wildbrethygiene?,beim Zerwirken,beim Aufbrechen,"beim Ansprechen des Wildes (Verhaltensweise, Gesundheitszustand)",3
47,"Jagdbetrieb, Hege und Brauchtum",Welche Falle zählt zu den Lebendfangfallen?,Rohrfalle,Marderschlagbaum,Schwanenhals,1
48,"Jagdbetrieb, Hege und Brauchtum",Bei welcher Fleischtemperatur wird das Wachstum der meisten Bakterien gehemmt?,"""+7°C""","""+15°C""","""+23°C""",1
50,"Jagdbetrieb, Hege und Brauchtum","Wie ist mit Wildbret zu verfahren, das gesundheitlich bedenkliche Merkmale aufweist?",Es ist grundsätzlich zu verwerfen.,Eine Verwendung als Lebensmittel ist durch die amtliche Fleischuntersuchung festzulegen.,Es ist nur als Hundefutter verwertbar.,2
51,"Jagdbetrieb, Hege und Brauchtum","Die Verantwortung für das ordnungsgemäße Aufbrechen des erlegten Wildes, das in den Handel gebracht wird, trägt der",Amtstierarzt,Erwerber,Erleger,3
53,"Jagdbetrieb, Hege und Brauchtum",Darf man einen Dachs ohne Einschränkung verzehren?,"Ja, aber erst nach erfolgter Trichinenuntersuchung","Ja, aber erst nach Herauslösen der Duftdrüsen","Nein, das Wildbret ist nicht genusstauglich",1
54,"Jagdbetrieb, Hege und Brauchtum",Unterliegt Fallwild in Deutschland der gesetzlichen Pflicht zur Fleischuntersuchung?,"Nein, Fallwild gilt als nicht zum Verzehr geeignet.",Ja.,Je nach Verwendung.,1
55,"Jagdbetrieb, Hege und Brauchtum",Welche Fachgruppe bei der Jagdhundegebrauchsprüfung ist für das Bestehen aller Brauchbarkeitssttufen in Thüringen die Voraussetzung?,Bringen,Gehorsam,Schweißarbeit und Stöbern,2
56,"Jagdbetrieb, Hege und Brauchtum",Durch welche Parasiten wird die Räude verursacht?,Milben,Flöhe,Läuse,1
94,"Jagdbetrieb, Hege und Brauchtum","Welches Merkmal ist für die Gesundheit des Menschen bedenklich, wenn beim Wild keine weiteren Beeinträchtigungen dessen Gesundheitszustandes festgestellt wurden?",übermäßige Gasbildung in Magen- und Darmtrakt mit Verfärbung der inneren Organe,Nasen-Rachen Dasselbefall,Lungenwürmer,1
101,"Jagdbetrieb, Hege und Brauchtum",Zu den Aufgaben der Hegegemeinschaft zählen insbesondere?,Auf die Erfüllung des Abschussplanes hinzuwirken und bei der Wildbestandsermittlung mitzuwirken.,Mitwirkung bei der Reviergestaltung und Zustimmung zum Jagdpachtvertrag.,Bestätigung und Festsetzung des Abschussplanes.,1
131,"Jagdbetrieb, Hege und Brauchtum","Welche der nachgenannten Wildarten hat eine Gallenblase, die vor der Verwertung des Aufbruchs von der Leber getrennt werden soll?",Reh,Damwild,Muffelwild,3
133,"Jagdbetrieb, Hege und Brauchtum",Was ist eine Blattjagd?,Lockjagd mit dem Mauspfeifchen,Pirschjagd in Laubwaldjagdbezirken,Lockjagd auf den Rehbock,3
244,"Jagdbetrieb, Hege und Brauchtum","Welche der nachgenannten Tierarten bewohnen Baumhöhlen, ersatzweise Nistkästen?","Bilche, Sperlingskauz","Steinmarder, Iltis","Waldohreule, Uhu",1
245,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Tiere sind vorwiegend Bewohner von Hecken und Feldgehölzen?,"Haselmaus, Neuntöter","Fichtenkreuzschnabel, Wintergoldhähnchen","Schwarzspecht, Bachstelze",1
248,"Jagdbetrieb, Hege und Brauchtum",Was ist der Vorteil von Kolonien bei vielen Vogelarten?,Weniger Nahrungskonkurrenz,Besserer Schutz vor Feinden,Herausbildung eines Leitvogels,2
249,"Jagdbetrieb, Hege und Brauchtum",Welche Vogelart klettert zur Nahrungsaufnahme an Stämmen stehender Bäume?,Buchfink,Feldsperling,Kleiber,3
251,"Jagdbetrieb, Hege und Brauchtum",Wovon ernährt sich der Kormoran?,vorwiegend von jungen Wasservögeln,vorwiegend von Fischen,vorwiegend von Amphibien,2
252,"Jagdbetrieb, Hege und Brauchtum",Welche Baustoffe sollen für die Errichtung jagdlicher Einrichtungen aus Gründen des Landschaftsbildes verwendet werden?,synthetische Baustoffe,es können alle Baustoffe verwendet werden,überwiegend Baustoffe aus nachwachsenden Rohstoffen wie z. B. Holz,3
253,"Jagdbetrieb, Hege und Brauchtum","Was weist darauf hin, dass ein aufgefundenes Gewölle von einer Eule stammt?",Es sind gut erkennbar Knochenteile enthalten,Es sind kaum Knochenteile erkennbar,Es sind chitinhaltige Panzer erkennbar,1
259,"Jagdbetrieb, Hege und Brauchtum",Enten lassen sich relativ gut ankirren. Warum soll nicht im Wasser angekirrt werden?,Das Kirrmaterial wird durch die Enten zusammen mit Wasser zu schnell aufgenommen.,Das Kirrmaterial sinkt auf den Grund ab und ist für die Enten somit nicht mehr erreichbar.,Das Wasser wird eutrophiert.,3
261,"Jagdbetrieb, Hege und Brauchtum",Können von Elstern erbaute Nester auch von Eulen oder Falken bewohnt sein?,Ja,Nein,Nur im Winter,1
262,"Jagdbetrieb, Hege und Brauchtum",Welche Zone sollte bei einer Hecke ausgebildet sein?,Saumzone,Hartholzzone,Weichholzzone,1
263,"Jagdbetrieb, Hege und Brauchtum",Ab wann ist das Füttern von Singvögeln artenschutzfachlich angebracht?,Ab der Beobachtung von natürlicher Mortalität innerhalb einer Art.,Ab der Verschlechterung der körperlichen Kondition einzelner Individuen.,"Ab akutem Nahrungsmangel, der zum gebietsweisen Aussterben der Art führen würde.",3
264,"Jagdbetrieb, Hege und Brauchtum",Warum sollte auf Kirren von Schwarzwild in Lebensräumen mit Bodenbrütern während der Brut- und Aufzuchtzeit verzichtet werden?,Um eine künstliche Konzentration des Schwarzwildes und einer damit einhergehenden Gefährdung der Brut zu vermeiden,Vogeleltern bedienen sich an der Kirrung und machen diese nutzlos,Vogeleltern geben sonst ihre Brut auf,1
267,"Jagdbetrieb, Hege und Brauchtum",Die Blindschleiche gehört zu den,Schlangen,Kriechtieren,Regenwürmern,2
272,"Jagdbetrieb, Hege und Brauchtum",Was versteht man unter dem Begriff Biozönose?,Bezeichnung für eine natürliche Lebensgemeinschaft,Oberbegriff für alle wildlebenden Tier- und Pflanzenarten,Seuchenartiges Auftreten von Wildkrankheiten,1
276,"Jagdbetrieb, Hege und Brauchtum",Welcher Baum bietet den meisten Arten eine Lebensgrundlage?,Fichte,Vogelkirsche,Eiche,3
280,"Jagdbetrieb, Hege und Brauchtum",Warum benötigen Hühnervögel für die Aufzucht ihrer Jungen ein reichhaltiges tierisches Nahrungsangebot?,Rein pflanzliche Ernährung führt zu einer Schädigung des Muskelmagens,Tierische Eiweiße sind für die körperliche Entwicklung der Jungvögel unverzichtbar,Elterntiere wandern sonst ab,2
285,"Jagdbetrieb, Hege und Brauchtum",Wie kann der Jäger die Lebensraumqualität steigern?,Wildwuchs beseitigen,Zierpflanzen aus dem Garten in die Landschaft einbringen,Die Vielfalt des Lebensraumes erhalten und verbessern,3
289,"Jagdbetrieb, Hege und Brauchtum",Welche Vogelarten klettern zur Nahrungsaufnahme an Baumstämmen auf und ab?,"Schwarzspecht, Blaumeise, Kleiber","Auerhuhn, Waldschnepfe, Hohltaube","Habichtskauz, Sperber, Wacholderdrossel",1
290,"Jagdbetrieb, Hege und Brauchtum","Warum kann es geboten sein, eine als wildernd angesprochene Katze im Wald fern der nächsten Bebauung nicht zu erlegen?",Aus Tierschutzgründen dürfen keine Katzen erlegt werden.,Es könnte sich um eine Wildkatze handeln.,Das Erlegen von Katzen wird in der Öffentlichkeit nicht gern gesehen.,2
311,"Jagdbetrieb, Hege und Brauchtum","Welche Maßnahme hilft, Verluste an Rehkitzen bei der Mahd zu minimieren?",Einsatz von Kreisel- und Rotormähwerken.,Absuchen der Fläche mittels Wärmebilddrohne und Bergung der Kitze.,Engmaschiges Abstellen der zu mähenden Fläche.,2
315,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdmethode führt am ehesten zu einer Verminderung des Verbiss- und Schälgeschehens im Wald?,Permanenter Einzelansitz in der Jagdzeit,Intervalljagd mit Durchführung jagdbezirksübergreifender Drückjagden,Tägliche Pirsch in der Jagdzeit,2
320,"Jagdbetrieb, Hege und Brauchtum",Was verstehen Sie unter tragbarem Wildbestand?,Beschlagene Ricken und Alttiere.,Wenn Eigentümer und Nutzer den Wildbestand akzeptieren und keinen Ersatz auf Wildschaden einfordern.,Ein an die Raumkapazität angepasster Wildbestand.,3
321,"Jagdbetrieb, Hege und Brauchtum",Wo sollte auf eine Fütterung von Rotwild verzichtet werden?,Auf Wiesenflächen,In engen Tälern,In jungen Waldbeständen,3
324,"Jagdbetrieb, Hege und Brauchtum",Wozu dient Fütterung vorrangig in Notzeiten?,"Um einen Wildbestand zu erhalten und örtlich zu binden, dessen Nahrungsbedarf über den natürlichen Äsungsverhältnissen liegt",Um Wildbretgewichte zu steigern,Um Wild an der Fütterung zu erlegen,1
333,"Jagdbetrieb, Hege und Brauchtum","Welcher der genannten Methoden in einem Jagdbezirk mit Wald- und Feldanteil verringert am ehesten die Schwarzwildschäden im Feld, ohne das Problem dem Nachbarn zuzuschieben?",Einzelansitz in Wald und Feld,Gruppenansitz im Feld,Pirsch im Wald,2
336,"Jagdbetrieb, Hege und Brauchtum",Kann die zuständige Jagdbehörde zur Vermeidung von Wildschäden den Abschuss von Wild innerhalb der Schonzeiten anordnen?,Ja,"Ja, aber nur einvernehmlich mit dem Jagdausübungsberechtigten","Nein, dieses gilt nur im Fall von Wildseuchen",1
355,"Jagdbetrieb, Hege und Brauchtum","Was versteht der Jäger unter dem Ausdruck ""Stockmaß"" beim Jagdhund?",das Maß für die Länge der Hundeleine,das Maß für die Schulterhöhe des Hundes,das Maß für die Länge des Hundes vom Fang bis zur Rutenspitze,2
356,"Jagdbetrieb, Hege und Brauchtum",Retriever sind besonders gut geeignet für,das Stöbern,das Apportieren,das Vorstehen,2
357,"Jagdbetrieb, Hege und Brauchtum",Pointer sind besonders gut geeignet für,das Brackieren.,die Suche im Feld.,das Buschieren,2
358,"Jagdbetrieb, Hege und Brauchtum",Welche Hunderassen sind zur Baujagd geeignet?,"Wachtelhund, Terrier","Teckel, Terrier","Teckel, Cocker Spaniel",2
359,"Jagdbetrieb, Hege und Brauchtum",Für welche Arbeit sind die Teckel besonders gut geeignet?,Schweißarbeit,Wasserarbeit,Freiverlorensuche,1
360,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdhunderasse eignet sich nicht zum Fuchssprengen?,Kleiner Münsterländer,Teckel,Jack Russel Terrier,1
361,"Jagdbetrieb, Hege und Brauchtum",Für welchen jagdlichen Einsatz sind die Teckel nicht geeignet?,Bauarbeit,Schweißarbeit,Vorstehen,3
362,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdhunderasse eignet sich zum Vorstehen?,Jagdterrier,Deutscher Wachtelhund,Deutsch Kurzhaar,3
363,"Jagdbetrieb, Hege und Brauchtum",Zu welcher Gruppe von Jagdhunden gehört der Kleine Münsterländer?,Stöberhunde,Apportierhunde,Vorstehhunde,3
364,"Jagdbetrieb, Hege und Brauchtum",Zu welcher Gruppe von Jagdhunden gehört der Deutsche Wachtelhund?,Vorstehhunde,Laufhunde,Stöberhunde,3
365,"Jagdbetrieb, Hege und Brauchtum",Zu welcher Gruppe von Jagdhunden gehört die Brandlbracke?,Vorstehhunde,Stöberhunde,Laufhunde,3
366,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Jagdhunderassen zählt nicht zu den allgemein anerkannten Schweißhunderassen?,Alpenländische Dachsbracke,Bayrischer Gebirgsschweißhund,Tiroler Bracke,3
367,"Jagdbetrieb, Hege und Brauchtum",Wie viel mal in 12 Monaten wird die Hündin in der Regel läufig?,1 mal pro Jahr,öfters als 3 mal pro Jahr,ca. 2 mal pro Jahr,3
368,"Jagdbetrieb, Hege und Brauchtum","Wie lange sollen die Welpen mindestens bei der Hündin bleiben, bevor Sie dem neuen Besitzer übergeben werden?",4 Wochen,6 Wochen,8 Wochen,3
369,"Jagdbetrieb, Hege und Brauchtum",Schließt das Fehlen eines Hoden bei einem Hunderüden die jagdliche Brauchbarkeit aus?,Ja,Nein,Das kommt auf die Jagdhunderasse an,2
370,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Jagdhundegebisse ist normal und gewünscht?,Rückbeißer,Vorbeißer,Scherengebiss,3
371,"Jagdbetrieb, Hege und Brauchtum",Welche Schutzimpfung ist für Jagdhunde dringend empfohlen und sollte regelmäßig wiederholt werden?,Fuchsbandwurm,Aujeszkysche Krankheit,Tollwut,3
372,"Jagdbetrieb, Hege und Brauchtum",Welcher Hundekrankheit kann durch Impfung vorgebeugt werden?,Aujeszkysche Krankheit,Bandwurmbefall,Hepatitis,3
373,"Jagdbetrieb, Hege und Brauchtum","Womit dürfen Sie Ihren Hund nicht füttern, wenn Sie der Aujeszkyschen Krankheit (Pseudowut) vorbeugen wollen?",Mit rohen Innereien vom Rehwild.,Mit rohem Kaninchenfleisch.,Mit rohem Fleisch und Innereien vom Schwarzwild.,3
374,"Jagdbetrieb, Hege und Brauchtum",Welcher Ektoparasit ist Zwischenwirt des Gurkenkernbandwurms (Dipylidium caninum)?,Hautdassellarve,Hundefloh,Spulwurm,2
375,"Jagdbetrieb, Hege und Brauchtum",Bei Ihrem Hund wurde ein Befall mit dem Gurkenkernbandwurm (Dipylidium canium) nachgewiesen. Warum sollte zeitgleich mit der Entwurmung auch die Flöhe bekämpft werden?,Weil der Bandwurm als Zwischenwirt für Hundeflöhe dient.,Weil der Hundefloh als Zwischenwirt für den Bandwurm dient.,Weil Flöhe sich auf wurmfreien Hunden besonders stark vermehren.,2
376,"Jagdbetrieb, Hege und Brauchtum","Bei einem Hundewelpen im Alter von 8 Wochen, der noch nicht entwurmt worden ist, tritt Befall mit Spulwürmern auf. Welche Infektionsquellen kommen in Frage?",Infektion im Mutterleib über die Blutbahn,Zufütterung von rohem Rinderhackfleisch,Zufütterung von rohem Rinderpansen,1
377,"Jagdbetrieb, Hege und Brauchtum",Welcher Parasit des Wildes schmarotzt nicht bei Hunden?,Rachenbremsenlarve,Räudemilbe,Hirschlausfliege,1
378,"Jagdbetrieb, Hege und Brauchtum",Worauf deuten reisförmige Gebilde am After des Jagdhundes hin?,auf Bandwurmbefall,auf Flohbefall,auf kleine Magensteine,1
379,"Jagdbetrieb, Hege und Brauchtum","Welches Kriterium ist bestimmend für die Mindestbodenfläche eines Hundezwingers, wenn er zum überwiegenden Aufenthalt des Hundes dient?",Widerristhöhe des Hundes,Hunderasse,Hundegewicht,1
380,"Jagdbetrieb, Hege und Brauchtum",Welche Eigenschaft benötigen Bracken zum erfolgreichen Brackieren?,Spurlaut,Apportierfreude,Wasserfreude,1
381,"Jagdbetrieb, Hege und Brauchtum",Welche der nachfolgenden Lautäußerungen des Jagdhundes ist nicht erwünscht?,Weidlaut,Standlaut,Spurlaut,1
383,"Jagdbetrieb, Hege und Brauchtum",Was ist unter Schusshitze zu verstehen?,Der Hund kommt nach jedem Schuss sofort zu seinem Herrn zurück,Der Hund prellt beim Schuss ungestüm vor,Der Hund arbeitet nur bei warmem Wetter,2
384,"Jagdbetrieb, Hege und Brauchtum",Welche Eigenschaft des Jagdhundes ist nicht erwünscht?,Fährtenlaut,Knautschen,Wildschärfe,2
385,"Jagdbetrieb, Hege und Brauchtum",Welche Lautäußerung eines Jagdhundes wird als weidlaut bezeichnet?,"wenn der Hund Laut gibt, obwohl er weder auf der Spur/ Fährte des Wildes jagt, noch dieses sichtig jagt",wenn er auf der Spur Laut gibt,wenn er ein Stück Wild verbellt,1
386,"Jagdbetrieb, Hege und Brauchtum",Wann ist ein Jagdhund spurlaut?,wenn er Wild erblickt und Laut gibt,"wenn er eine Spur aufgenommen hat, verfolgt und laut gibt, ohne das Wild zu eräugen","wenn er laut gibt, ohne Wild eräugt oder Witterung aufgenommen zu haben",2
387,"Jagdbetrieb, Hege und Brauchtum",Wann ist ein Hund sichtlaut?,wenn er beim Stöbern ohne Sicht-und Geruchskontakt zu Wild Laut gibt,wenn er für ihn sichtbares Haarwild lautgebend jagt,wenn er unter Blickkontakt mit dem Jäger jagt,2
388,"Jagdbetrieb, Hege und Brauchtum",Wann gibt ein Hund Standlaut?,"wenn er unter dem Hochstand, auf dem sein Führer sitzt, laut wird",beim Stellen von lebendem Wild,wenn er im nicht befahrenen Fuchsbau Laut gibt,2
389,"Jagdbetrieb, Hege und Brauchtum",Welche primäre Verhaltensweise muss der freijagende Hund bei Bewegungsjagden auf Schalenwild zeigen?,Totverbellen,Fährtenlaut,Bringfreude,2
390,"Jagdbetrieb, Hege und Brauchtum",Welche Verhaltensweise oder Eigenschaft ist für einen Jagdhund beim Nachsuchen auf vermutlich nicht tödlich getroffenes Schalenwild unverzichtbar?,Totverweisen,Totverbellen,Wildschärfe,3
391,"Jagdbetrieb, Hege und Brauchtum",Welche der folgenden Eigenschaften des Jagdhundes gehört nicht zu seinen angewölften Anlagen?,Gute Nase,Spurlaut,Gehorsam,3
394,"Jagdbetrieb, Hege und Brauchtum","Ein Jagdhund zeigt Raubwildschärfe, wenn er:",einen verletzten Fuchs fängt und würgt (tötet).,bei einer Feldsuche einen toten Marder findet und apportiert.,ein erlegtes Stück Raubwild verbellt.,1
396,"Jagdbetrieb, Hege und Brauchtum","Ein Hund wird als Knautscher bezeichnet, wenn er:","nicht im Stande ist, gefasstes Raubwild abzuwürgen.","beim Apportieren von Niederwild mehrfach so fest zufasst, dass das Wildbret entwertet wird.",bei der Schweißarbeit das noch lebende Reh an der Drossel fasst und abtut (tötet).,2
402,"Jagdbetrieb, Hege und Brauchtum",Was ist ein Fährtenschuh?,Ein besonders robuster Schuh für Nachsuchenführer.,Ein besonders tiefes Trittsiegel.,"Ein Spezialschuh zum Anlegen von Schweißfährten, an dem die Schale eines Wildlaufs befestigt wird.",3
403,"Jagdbetrieb, Hege und Brauchtum",Welche Arbeiten werden vom Hund bei der Wasserjagd verlangt?,Stöbern und Verlorenbringen,Verweisen und Tauchen,Totverbellen und Bringselverweisen,1
404,"Jagdbetrieb, Hege und Brauchtum",Der Hund sucht im unübersichtlichen Gelände unter der Flinte. Welche Arbeit führt er aus?,Stöbern,Buschieren,Suche,2
405,"Jagdbetrieb, Hege und Brauchtum",Welches sind die Arbeiten eines Jagdhundes nach dem Schuss?,Suche und Buschieren,Nachsuche und Verlorenbringen,Buschieren und Stöbern,2
406,"Jagdbetrieb, Hege und Brauchtum",Nennen Sie eine Arbeit des Jagdhundes vor dem Schuss.,Nachsuche,Verlorenbringen,Brackieren,3
407,"Jagdbetrieb, Hege und Brauchtum","Zu den Arbeiten ""vor dem Schuss"" gehört",Apportieren,Vorstehen,Schweißarbeit,2
408,"Jagdbetrieb, Hege und Brauchtum","Die Eigenschaft ""Spurlaut"" wird im Prüfungswesen auf der Spur folgender Wildart geprüft",Kaninchen,Hase,Dachs,2
410,"Jagdbetrieb, Hege und Brauchtum",Was versteht man unter einer Schliefanlage?,Die angewölfte Anlage des Jagdhundes zum Apportieren von Wild.,Eine künstliche Bauanlage als Übungsstätte für Erdhunde.,Eine Ausbildungsstätte für Vorstehhunde.,2
411,"Jagdbetrieb, Hege und Brauchtum",Auf der Einzeljagd wird ein Hase krank geschossen. Wann soll die Verlorensuche mit einem dafür brauchbaren Hund beginnen?,Sofort,Nach 30 Minuten,Nach 2 Stunden,1
412,"Jagdbetrieb, Hege und Brauchtum",Bei einer Treibjagd ist ein geflügelter Fasan in ca. 60 cm hohen Raps gefallen. Was sollte geschehen?,"Alle verfügbaren Hunde werden sofort mit dem Kommando ""Apport"" geschnallt",Alle Treiber werden dicht nebeneinander durch das Feld geschickt,Es wird umgehend ein gut abgeführter Hund zur Verlorensuche geschickt,3
413,"Jagdbetrieb, Hege und Brauchtum",Welche Hilfsmittel werden bei der Schweißarbeit verwendet?,"Leine, Gurt und Warnweste",breites Halsband mit Wirbel und ein mindestens 6 m langer Riemen,Stachelhalsband und Feldleine,2
414,"Jagdbetrieb, Hege und Brauchtum","Wer gibt normalerweise den Fangschuss, wenn der Schweißhund ein krankes Stück Schalenwild gestellt hat?","Der Schütze, der das Stück krank geschossen hat.",Der Führer des Schweißhundes.,Der Jagdausübungsberechtig te.,2
415,"Jagdbetrieb, Hege und Brauchtum","Was müssen Jäger beachten, die einen Schweißhundeführer bei der Nachsuche begleiten?","Der Begleiter geht vor dem Nachsuchengespann, um eventuell hindernde Äste zu entfernen.",Den Anweisungen des Schweißhundeführers ist Folge zu leisten.,Schusswaffen sind zu jeder Zeit geladen mitzuführen.,2
416,"Jagdbetrieb, Hege und Brauchtum",Auf welche der folgenden Wildarten kann brackiert werden?,Kaninchen,Hase,Dachs,2
417,"Jagdbetrieb, Hege und Brauchtum","Welches optisch erkennbare Zeichen zeigt an, dass eine Hündin in der Hitze (läufig) ist?",Geschwollene Schnalle,Schütteln der Behänge,Speichelfluss,1
418,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Aussagen ist richtig?,Hunde dürfen in einem Zwinger angebunden gehalten werden,Hunde dürfen in einem Zwinger nicht angebunden gehalten werden,"Hunde dürfen in einem Zwinger angebunden gehalten werden, sofern die Laufvorrichtung mindestens 6 m lang ist",2
419,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Krankheit ist vom Wild auf den Hund übertragbar?,Schweinepest,Aujeszkysche Krankheit (Pseudowut),Maul- und Klauenseuche,2
420,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Krankheitserscheinung lässt auf eine akute Staupeerkrankung des Hundes schließen?,Geschwollene oder gerötete Augenlider,Beißlust,Schütteln des Behanges,1
421,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Wurmarten kann als Darmschmarotzer beim Jagdhund auftreten?,Bandwürmer,Drahtwürmer,Rotwürmer,1
422,"Jagdbetrieb, Hege und Brauchtum",Welcher der nachgenannten Parasiten des Wildes kommt auch bei Hunden vor?,Dassellarve,Rotwurm,Fuchsbandwurm,3
423,"Jagdbetrieb, Hege und Brauchtum",Welcher der nachgenannten Außenschmarotzer kann beim Jagdhund vorkommen?,Peitschenwürmer,Bandwürmer,Zecken,3
424,"Jagdbetrieb, Hege und Brauchtum","Ist es möglich, dass sich ein Erdhund bei der Bauarbeit mit Räude eines Fuchses ansteckt?",Nein,"Nein, Räude wird nur bei direktem Kontakt übertragen",Ja,3
425,"Jagdbetrieb, Hege und Brauchtum",Welche Verhaltensweise des Hundes lässt auf Ohrenzwang schließen?,Häufiges Bellen,Schütteln des Kopfes,Rutschen auf den Keulen,2
426,"Jagdbetrieb, Hege und Brauchtum","Welche Maßnahme soll unternommen werden, wenn der Verdacht besteht, dass der Hund Gift aufgenommen hat?",Dem Hund Milch einflößen,Sofort den Tierarzt verständigen und wenn möglich Hinweise auf die Art des Giftes mitteilen,Wenn keine Besserung eintritt am nächsten Tag den Tierarzt aufsuchen,2
427,"Jagdbetrieb, Hege und Brauchtum",Lassen sich an der Art des Lautgebens Hetz- und Standlaut bei einem Hund unterscheiden?,Ja,Nein,"Ja, aber nur bei Erdhunden während der Bauarbeit",1
428,"Jagdbetrieb, Hege und Brauchtum",Warum sind stumm jagende Hunde für den Jagdgebrauch im Wald weniger geeignet als spurlaute Hunde?,Weil stummjagende Hunde heimlich das Treiben verlassen,Weil stummjagende Hunde gesundes Wild nicht so schnell fangen,Weil der Jäger den Verlauf der Jagd nicht verfolgen kann,3
